LinkId,Geometry
100864,"LINESTRING(356131.52962 6688982.11468,356122.32785 6688978.07214,356118.87534 6688977.62580,356114.69224 6688977.78901,356111.43198 6688978.31070,356063.03732 6688989.44478,356061.13721 6688989.88810,356055.13182 6688990.92410)"
100865,"LINESTRING(356060.66489 6688920.79939,356066.41775 6688922.61513,356098.34904 6688931.13311,356112.63503 6688934.86034,356122.62555 6688937.72254,356135.07445 6688941.27754)"
100866,"LINESTRING(356136.84924 6689077.83828,356150.34015 6689080.79918,356164.62212 6689083.93706,356181.53756 6689092.38618,356207.35129 6689105.27376,356210.47334 6689107.48600)"
100867,"LINESTRING(356121.73195 6689283.68754,356117.34175 6689279.99078,356116.34928 6689278.42356,356115.65591 6689276.12702)"
100868,"LINESTRING(356115.65591 6689276.12702,356115.04891 6689270.98832,356114.71924 6689263.95330,356115.63433 6689259.70598)"
100869,"LINESTRING(356339.08391 6689196.90798,356337.61282 6689196.77019,356335.54129 6689196.21081,356333.20816 6689195.32159,356306.10727 6689182.31850,356264.06534 6689161.70925,356253.00276 6689156.41633,356232.84291 6689146.65192,356222.13702 6689141.76131,356213.22700 6689139.09260)"
100870,"LINESTRING(356223.15923 6689118.58219,356229.64263 6689125.31827,356290.06635 6689154.82628,356313.95860 6689166.47872,356315.22229 6689167.09575,356321.52996 6689170.12590,356327.84518 6689173.15562,356334.15284 6689176.18578,356340.46804 6689179.21551,356350.16583 6689184.37579)"
101024,"LINESTRING(355401.63327 6690017.78047,355406.19587 6690018.81870,355427.51423 6690023.46201,355432.94846 6690024.76144)"
101026,"LINESTRING(355432.94846 6690024.76144,355434.78972 6690025.66759,355440.94725 6690030.04062)"
101244,"LINESTRING(355757.79331 6688723.57398,355752.63056 6688720.03328,355750.18272 6688717.94926)"
101245,"LINESTRING(355750.18272 6688717.94926,355747.41035 6688715.62806)"
101246,"LINESTRING(355747.41035 6688715.62806,355741.60906 6688710.74457)"
101247,"LINESTRING(355886.70605 6688745.40005,355892.59300 6688746.90750,355936.82620 6688753.11307)"
101248,"LINESTRING(355936.82620 6688753.11307,355892.59300 6688746.90750,355886.70605 6688745.40005)"
101249,"LINESTRING(356021.81770 6688713.93307,356122.14750 6688754.99135,356219.80432 6688795.08151,356226.54686 6688798.01976,356230.70632 6688800.33914)"
101251,"LINESTRING(355911.98083 6688665.54727,355909.41455 6688671.26948,355907.66051 6688677.53455,355888.47371 6688739.63487,355886.70605 6688745.40005)"
101252,"LINESTRING(355886.70605 6688745.40005,355888.47371 6688739.63487,355907.66051 6688677.53455,355909.41455 6688671.26948,355911.98083 6688665.54727)"
102121,"LINESTRING(356157.22726 6689660.68957,356182.84087 6689600.03307)"
102122,"LINESTRING(356225.08937 6689658.87051,356242.16107 6689624.40805)"
102123,"LINESTRING(356242.16107 6689624.40805,356225.08937 6689658.87051)"
102141,"LINESTRING(356121.83817 6689650.90213,356135.33329 6689627.91635)"
102142,"LINESTRING(356135.33329 6689627.91635,356121.83817 6689650.90213)"
102144,"LINESTRING(356005.00220 6689624.00310,356009.85516 6689626.39357,356036.41176 6689639.70481,356067.11130 6689654.40175,356094.13021 6689667.45293,356103.07924 6689644.64011,356118.11306 6689650.05985,356121.83817 6689650.90213)"
102145,"LINESTRING(356121.83817 6689650.90213,356157.22726 6689660.68957)"
102952,"LINESTRING(355797.16162 6690050.42181,355792.66586 6690059.60448,355791.45929 6690062.07738,355790.67274 6690063.94747,355786.24954 6690071.23450)"
103646,"LINESTRING(355378.31976 6689782.81547,355378.12156 6689779.12186,355375.83241 6689755.11001,355371.67499 6689706.10514,355371.60492 6689705.28584,355371.22742 6689701.11303)"
103647,"LINESTRING(355371.22742 6689701.11303,355370.82827 6689696.69670,355368.89440 6689670.30556,355368.54070 6689665.36366)"
10421,"LINESTRING(356130.40048 6689430.79933,356119.57992 6689420.23003)"
10422,"LINESTRING(356119.57992 6689420.23003,356130.40048 6689430.79933)"
10436,"LINESTRING(356179.25379 6689469.51794,356178.81053 6689473.27076,356177.67543 6689476.46264,356175.97139 6689479.25338,356173.38003 6689481.90612)"
10437,"LINESTRING(356173.38003 6689481.90612,356170.73256 6689483.71650,356167.39078 6689485.05509,356163.80783 6689485.62874,356159.96155 6689485.31635)"
10438,"LINESTRING(356159.96155 6689485.31635,356156.70660 6689484.34681,356153.03314 6689482.16639,356150.24760 6689479.34511,356148.21398 6689475.89080)"
10439,"LINESTRING(356148.21398 6689475.89080,356147.39336 6689473.49033,356146.91909 6689470.39120,356147.00929 6689467.61557,356147.46006 6689465.30872)"
10440,"LINESTRING(356147.46006 6689465.30872,356148.30180 6689462.94595,356149.99880 6689460.03322,356152.06340 6689457.71124,356154.13805 6689456.08963)"
10441,"LINESTRING(356154.13805 6689456.08963,356152.06340 6689457.71124,356149.99880 6689460.03322,356148.30180 6689462.94595,356147.46006 6689465.30872,356147.00929 6689467.61557,356146.91909 6689470.39120,356147.39336 6689473.49033,356148.21398 6689475.89080,356150.24760 6689479.34511,356153.03314 6689482.16639,356156.70660 6689484.34681,356159.96155 6689485.31635,356163.80783 6689485.62874,356167.39078 6689485.05509,356170.73256 6689483.71650,356173.38003 6689481.90612,356175.97139 6689479.25338,356177.67543 6689476.46264,356178.81053 6689473.27076,356179.25379 6689469.51794)"
10546,"LINESTRING(356119.57992 6689420.23003,356105.73139 6689409.86866,356097.40421 6689405.07482,356090.34538 6689401.24262,356069.05566 6689390.67607,356057.93662 6689386.10999,356031.70303 6689376.84105,356010.98714 6689368.86741)"
